COD_FEDERAL,NOMBRE_ESTADO,NOMBRE,PERIODO_ANIO,TASA_ABANDONO_PRIMARIA,INASISTENCIA_3_A_15,CARENCIA_SALUD,INSEG_ALIMENTARIA,INGRESO_MENSUAL_POR_ESTADO,VIVIENDA_PISO_TIERRA,PORCENTAJE_RAZON_INGRESO,VULNERABLE_CARENCIA
,NAYARIT,NAYARIT,2023,-0.2,27.4,66.7,13,7 299.6,4.6,2.101,37.4
,NAYARIT,NAYARIT,2024,0.3,21.1,67.6,9.8,7 736.8,3.7,1.09,37.6
,NUEVO_LEON,NUEVO DE LEON,2021,-0.1,86.5,42.2,12.8,8 606.0,0.7,0.177,25.3
,NUEVO_LEON,NUEVO DE LEON,2022,-0.2,113.5,44.9,15,8 362.2,0.8,0.626,24.5
,NUEVO_LEON,NUEVO DE LEON,2023,-0.3,78,43.4,11.4,9 058.1,0.5,0.283,28.4
,NUEVO_LEON,NUEVO DE LEON,2024,-0.2,92,37.5,9.3,11 494.8,0.5,0.091,28.6
,OAXACA,OAXACA,2021,-1.5,89.8,86.4,29.5,3 926.2,11.9,23.149,23.4
,OAXACA,OAXACA,2022,-2.5,88,84.1,29.1,4 076.8,12.5,21.512,25.3
,OAXACA,OAXACA,2023,-6.7,94.1,86.6,26.4,4 465.3,11,26.914,29.2
,OAXACA,OAXACA,2024,1.2,91.1,85.3,25.2,4 850.2,11.4,14.268,32.2
,PUEBLA,PUEBLA,2021,1.1,132.9,79.6,22.3,4 462.2,2.7,8.496,22.2
,PUEBLA,PUEBLA,2022,-0.6,160.3,80.2,25.1,4 202.0,3,12.413,17.9
,PUEBLA,PUEBLA,2023,0,116,78.4,23.2,4 812.3,4.4,11.764,25.1
,PUEBLA,PUEBLA,2024,0.3,123.2,77.4,16.1,5 732.2,4.1,5.512,32.2
,QUERETARO,QUERETARO,2021,-0.1,50.6,55.3,14.8,7 426.9,1.1,0.567,34.8
,QUERETARO,QUERETARO,2022,0.7,53.1,55,18.7,6 768.9,1.4,1.067,30.5
,QUERETARO,QUERETARO,2023,-0.6,50,54,14.6,7 561.4,0.7,0.706,36.4
,QUERETARO,QUERETARO,2024,-0.1,37.6,48.3,9.7,9 389.0,1.3,0.3,34.7
,QUINTANA_ROO,QUINTANA_ROO,2021,0,36.4,53.7,17,7 442.0,2.6,1.319,34.8
,QUINTANA_ROO,QUINTANA_ROO,2022,-0.1,39.1,57.6,26.2,5 453.1,1.3,5.628,21.5
,QUINTANA_ROO,QUINTANA_ROO,2023,1.9,34.9,55.4,17.3,7 966.6,1.3,1.508,35.7
,QUINTANA_ROO,QUINTANA_ROO,2024,-0.4,35.1,48.7,12.4,8 957.5,0.9,0.782,38.5
,SAN_LUIS_POTOSI,SAN LUIS DE POTOSI ,2021,1,44.6,63.8,18.4,5 635.7,4.2,3.018,26.2
,SAN_LUIS_POTOSI,SAN LUIS DE POTOSI ,2022,-0.2,45.4,64.7,22,5 324.2,4,4.095,25.1
,SAN_LUIS_POTOSI,SAN LUIS DE POTOSI ,2023,0.3,47.3,61.5,17.2,6 091.4,4.8,3.264,28.5
,SAN_LUIS_POTOSI,SAN LUIS DE POTOSI ,2024,0.8,33,62.9,13.6,7 087.7,3.5,1.793,33.9
,SINALOA,SINALOA,2021,-0.1,44.8,55.4,21.7,7 163.6,2.1,0.77,31.7
