INEGI. Pobreza Multidimensional (PM) 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Situación de vulnerabilidad, según entidad federativa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuadro 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(miles de personas, porcentaje y carencias promedio)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entidad federativa,,,,Vulnerable por carencias sociales,,,,,,,,,,,,,,,,,,Vulnerable por ingresos,,,,,,,,,,,,No pobre y no vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Población,,,,,,Porcentaje,,,,,,Carencias promedio,,,,,,Población,,,,,,Porcentaje,,,,,,Población,,,,,,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,,,, 852.8, 936.6,1 052.4,1 240.0,1 374.2,, 21.8, 23.4, 25.3, 29.2, 32.2,, 2.3, 2.2, 2.4, 2.7, 2.4,, 79.7, 116.6, 101.4, 126.8, 108.6,, 2.0, 2.9, 2.4, 3.0, 2.5,, 320.7, 374.5, 443.9, 399.4, 582.9,, 8.2, 9.4, 10.7, 9.4, 13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla,,,,1 392.5,1 437.3,1 183.0,1 684.6,2 123.0,, 22.0, 22.2, 17.9, 25.1, 32.2,, 1.8, 1.9, 2.0, 2.2, 2.3,, 354.3, 409.6, 497.5, 452.2, 381.4,, 5.6, 6.3, 7.5, 6.7, 5.8,, 900.3, 872.1, 808.6, 950.6,1 225.5,, 14.2, 13.5, 12.2, 14.2, 18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Querétaro,,,, 674.4, 797.8, 731.0, 899.9, 880.4,, 31.3, 34.8, 30.5, 36.4, 34.7,, 1.7, 1.7, 1.8, 1.9, 1.8,, 185.3, 162.2, 205.7, 186.4, 121.2,, 8.6, 7.1, 8.6, 7.5, 4.8,, 656.5, 727.5, 708.4, 851.7,1 120.3,, 30.4, 31.7, 29.6, 34.4, 44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintana Roo,,,, 566.1, 630.2, 404.2, 683.9, 736.3,, 33.3, 34.8, 21.5, 35.7, 38.5,, 1.9, 1.9, 2.0, 2.1, 2.0,, 107.7, 106.6, 178.5, 114.8, 83.5,, 6.3, 5.9, 9.5, 6.0, 4.4,, 487.6, 526.5, 404.9, 601.3, 755.2,, 28.7, 29.1, 21.5, 31.4, 39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Potosí,,,, 677.2, 734.1, 710.8, 817.3, 976.7,, 24.5, 26.2, 25.1, 28.5, 33.9,, 1.7, 1.7, 1.8, 2.0, 1.9,, 199.9, 209.9, 245.9, 193.2, 140.9,, 7.2, 7.5, 8.7, 6.7, 4.9,, 664.5, 680.4, 662.6, 841.5, 884.9,, 24.1, 24.3, 23.4, 29.3, 30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinaloa,,,, 899.9, 948.2, 974.7,1 097.0,1 086.6,, 30.6, 31.7, 32.0, 35.5, 34.6,, 1.7, 1.7, 1.8, 1.9, 1.8,, 223.4, 209.0, 248.0, 206.0, 196.8,, 7.6, 7.0, 8.2, 6.7, 6.3,, 921.8, 909.7, 965.2,1 116.8,1 319.6,, 31.3, 30.4, 31.7, 36.2, 42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonora,,,, 847.9, 839.8, 771.3, 980.1,1 093.9,, 29.8, 28.9, 26.1, 32.7, 35.8,, 1.7, 1.7, 1.8, 1.9, 1.8,, 238.0, 265.0, 301.3, 184.5, 138.2,, 8.4, 9.1, 10.2, 6.2, 4.5,, 989.8,1 024.5,1 000.0,1 183.2,1 394.6,, 34.8, 35.3, 33.8, 39.5, 45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabasco,,,, 706.8, 660.3, 624.8, 821.5, 997.5,, 30.3, 27.9, 25.9, 33.6, 39.4,, 2.1, 2.0, 2.1, 2.3, 2.2,, 72.9, 78.2, 124.9, 87.4, 113.4,, 3.1, 3.3, 5.2, 3.6, 4.5,, 296.9, 294.1, 350.0, 398.4, 540.4,, 12.7, 12.4, 14.5, 16.3, 21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamaulipas,,,, 931.3, 808.7, 740.8, 995.9,1 145.6,, 27.2, 23.2, 21.0, 27.8, 32.0,, 1.6, 1.7, 1.7, 1.8, 1.8,, 360.4, 484.0, 472.0, 384.0, 241.8,, 10.5, 13.9, 13.4, 10.7, 6.8,,1 035.6, 991.0,1 084.6,1 246.1,1 467.0,, 30.2, 28.4, 30.7, 34.7, 41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlaxcala,,,, 275.3, 309.3, 246.3, 287.2, 425.0,, 21.6, 23.7, 18.2, 21.0, 29.0,, 1.6, 1.6, 1.7, 1.9, 1.9,, 115.5, 123.3, 127.2, 142.9, 141.1,, 9.1, 9.5, 9.4, 10.4, 9.6,, 169.6, 207.1, 176.1, 220.6, 302.4,, 13.3, 15.9, 13.0, 16.1, 20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veracruz de Ignacio de la Llave,,,,1 572.0,1 644.4,1 762.6,2 193.9,2 389.6,, 20.0, 20.7, 21.7, 26.7, 29.5,, 2.0, 2.0, 2.1, 2.2, 2.1,, 367.7, 552.3, 481.0, 488.3, 460.6,, 4.7, 7.0, 5.9, 6.0, 5.7,,1 158.9, 967.2,1 111.5,1 278.2,1 641.8,, 14.8, 12.2, 13.7, 15.6, 20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yucatán,,,, 592.3, 606.7, 516.8, 717.6, 869.5,, 27.2, 26.9, 22.1, 30.2, 36.6,, 1.9, 1.9, 1.9, 2.2, 2.0,, 152.8, 165.4, 212.0, 164.8, 126.4,, 7.0, 7.3, 9.1, 6.9, 5.3,, 441.2, 489.3, 452.1, 570.8, 749.0,, 20.3, 21.7, 19.3, 24.1, 31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacatecas,,,, 348.8, 387.4, 415.5, 433.7, 482.8,, 21.9, 24.0, 25.5, 26.4, 29.1,, 1.7, 1.7, 1.8, 1.9, 1.8,, 158.3, 151.2, 138.8, 144.8, 139.5,, 9.9, 9.4, 8.5, 8.8, 8.4,, 287.0, 281.5, 329.2, 337.0, 434.1,, 18.0, 17.4, 20.2, 20.5, 26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota: ,,,"Las estimaciones para 2024 están coloreadas de acuerdo con su nivel de precisión (alta, moderada y baja), tomando como referencia el Coeficiente de Variación (CV). Una precisión baja requiere un uso cauteloso de la estimación en el que se analicen las causas de la gran variabilidad y se consideren otros indicadores de precisión y confiabilidad, como el intervalo de confianza.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Nivel de precisión de las estimaciones, según el CV (porcentaje):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Alta: CV en el rango de [0,15) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Moderada: CV en el rango de [15,30) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Baja: CV de 30 en adelante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: ,,,"INEGI. Pobreza multidimensional, 2024. Cálculos con base en la información de la ENIGH 2024, utilizando la metodología del CONEVAL. 
CONEVAL. Medición de la pobreza, de 2016 a 2022. Recuperado el 1 de agosto de 2025, de https://www.coneval.org.mx/Medicion/MP/Paginas/AE_pobreza_2022.aspx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
