Entidad federativa,,,,Población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Seguridad alimentaria,,,,,,Inseguridad alimentaria leve,,,,,,Inseguridad alimentaria moderada,,,,,,Inseguridad alimentaria severa,,,,,,Limitación en el consumo de alimentos2/,,,,,,Seguridad alimentaria,,,,,,Inseguridad alimentaria leve,,,,,,Inseguridad alimentaria moderada,,,,,,Inseguridad alimentaria severa,,,,,,Limitación en el consumo de alimentos2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Querétaro,,,,1 445.2,1 635.4,1 541.3,1 833.3,2 071.2,, 422.7, 338.6, 447.8, 360.2, 246.2,, 189.1, 206.3, 242.2, 183.3, 153.6,, 99.4, 111.6, 164.2, 98.0, 64.8,, 50.5, 48.8, 66.5, 62.8, 46.2,, 67.0, 71.4, 64.3, 74.1, 81.7,, 19.6, 14.8, 18.7, 14.6, 9.7,, 8.8, 9.0, 10.1, 7.4, 6.1,, 4.6, 4.9, 6.9, 4.0, 2.6,, 2.3, 2.1, 2.8, 2.5, 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintana Roo,,,,1 095.1,1 177.7, 876.1,1 342.7,1 465.2,, 325.7, 307.6, 492.0, 331.0, 236.7,, 168.2, 180.7, 295.2, 152.9, 127.3,, 110.3, 143.6, 217.3, 90.5, 85.6,, 69.4, 71.8, 70.3, 62.8, 47.1,, 64.4, 65.1, 46.6, 70.0, 76.5,, 19.2, 17.0, 26.2, 17.3, 12.4,, 9.9, 10.0, 15.7, 8.0, 6.6,, 6.5, 7.9, 11.6, 4.7, 4.5,, 4.1, 4.0, 3.7, 3.3, 2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Potosí,,,,1 639.1,1 813.3,1 706.0,1 999.5,2 176.6,, 565.7, 515.2, 623.6, 494.0, 392.7,, 320.8, 283.2, 298.0, 221.1, 195.9,, 233.9, 192.1, 205.6, 157.8, 112.1,, 62.4, 64.1, 70.5, 42.1, 48.9,, 59.4, 64.7, 60.2, 69.6, 75.6,, 20.5, 18.4, 22.0, 17.2, 13.6,, 11.6, 10.1, 10.5, 7.7, 6.8,, 8.5, 6.9, 7.3, 5.5, 3.9,, 2.3, 2.3, 2.5, 1.5, 1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinaloa,,,,1 709.8,1 610.2,1 806.7,2 060.2,2 299.9,, 562.2, 650.3, 565.8, 499.3, 456.6,, 353.4, 412.3, 379.2, 292.5, 224.1,, 315.4, 322.2, 289.9, 235.9, 155.4,, 23.0, 17.9, 11.8, 11.3, 12.9,, 58.1, 53.8, 59.4, 66.7, 73.3,, 19.1, 21.7, 18.6, 16.2, 14.6,, 12.0, 13.8, 12.5, 9.5, 7.1,, 10.7, 10.8, 9.5, 7.6, 5.0,, 0.8, 0.6, 0.4, 0.4, 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonora,,,,1 799.8,1 825.8,1 792.0,1 951.7,2 264.4,, 447.6, 452.6, 512.2, 470.0, 368.5,, 303.1, 341.4, 332.3, 312.7, 222.5,, 293.1, 283.8, 321.2, 263.8, 203.0,, 21.2, 38.4, 22.9, 34.6, 27.7,, 63.3, 62.9, 60.6, 65.1, 74.0,, 15.7, 15.6, 17.3, 15.7, 12.0,, 10.7, 11.8, 11.2, 10.4, 7.3,, 10.3, 9.8, 10.9, 8.8, 6.6,, 0.7, 1.3, 0.8, 1.2, 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabasco,,,, 795.4, 813.7,1 002.0,1 162.8,1 404.3,, 480.8, 445.5, 426.8, 439.9, 433.3,, 498.5, 532.6, 471.0, 403.2, 352.4,, 557.8, 574.0, 516.0, 436.3, 342.8,, 233.9, 269.0, 207.3, 254.5, 275.5,, 34.1, 34.4, 41.5, 47.6, 55.4,, 20.6, 18.8, 17.7, 18.0, 17.1,, 21.4, 22.5, 19.5, 16.5, 13.9,, 23.9, 24.3, 21.4, 17.9, 13.5,, 10.0, 11.4, 8.6, 10.4, 10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamaulipas,,,,2 069.4,2 403.5,2 510.9,2 639.6,2 920.9,, 696.2, 501.8, 529.6, 512.9, 327.5,, 433.5, 344.8, 266.4, 266.9, 197.6,, 225.6, 239.0, 224.4, 169.3, 128.8,, 34.0, 31.1, 15.2, 28.6, 32.0,, 60.4, 68.9, 71.1, 73.6, 81.7,, 20.3, 14.4, 15.0, 14.3, 9.2,, 12.7, 9.9, 7.5, 7.4, 5.5,, 6.6, 6.9, 6.4, 4.7, 3.6,, 1.0, 0.9, 0.4, 0.8, 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlaxcala,,,, 698.8, 750.7, 635.6, 813.8, 986.0,, 291.1, 289.8, 347.7, 300.0, 262.5,, 175.8, 167.1, 214.1, 142.2, 141.8,, 105.9, 97.0, 152.7, 114.6, 76.9,, 75.1, 93.4, 158.8, 118.2, 123.3,, 55.0, 57.5, 47.1, 59.4, 67.2,, 22.9, 22.2, 25.8, 21.9, 17.9,, 13.8, 12.8, 15.9, 10.4, 9.7,, 8.3, 7.4, 11.3, 8.4, 5.2,, 5.9, 7.2, 11.8, 8.6, 8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veracruz de Ignacio de la Llave,,,,4 046.6,3 570.7,3 990.4,4 695.3,5 637.2,,2 054.2,2 227.4,2 238.2,1 881.0,1 426.6,, 990.9,1 252.1,1 120.1, 989.8, 631.5,, 751.2, 890.3, 756.1, 638.9, 398.6,, 219.5, 268.9, 248.3, 250.9, 217.4,, 51.6, 45.0, 49.2, 57.2, 69.6,, 26.2, 28.1, 27.6, 22.9, 17.6,, 12.6, 15.8, 13.8, 12.1, 7.8,, 9.6, 11.2, 9.3, 7.8, 4.9,, 2.8, 3.4, 3.1, 3.1, 2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yucatán,,,,1 321.2,1 358.8,1 262.0,1 627.7,1 691.8,, 435.9, 457.5, 540.5, 423.6, 393.1,, 274.8, 295.2, 359.4, 222.7, 197.6,, 144.9, 142.1, 175.9, 99.4, 96.1,, 96.8, 67.9, 78.3, 63.3, 75.5,, 60.7, 60.3, 54.0, 68.6, 71.1,, 20.0, 20.3, 23.1, 17.8, 16.5,, 12.6, 13.1, 15.4, 9.4, 8.3,, 6.7, 6.3, 7.5, 4.2, 4.0,, 4.4, 3.0, 3.3, 2.7, 3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacatecas,,,,1 051.4,1 025.0,1 025.4,1 115.8,1 260.1,, 302.9, 321.8, 336.1, 267.3, 227.3,, 137.7, 160.2, 143.5, 135.5, 93.9,, 102.5, 108.5, 124.4, 122.6, 80.4,, 27.4, 23.3, 27.0, 26.7, 25.6,, 65.9, 63.4, 62.9, 68.0, 75.8,, 19.0, 19.9, 20.6, 16.3, 13.7,, 8.6, 9.9, 8.8, 8.3, 5.6,, 6.4, 6.7, 7.6, 7.5, 4.8,, 1.7, 1.4, 1.7, 1.6, 1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota: ,,,"Las estimaciones para 2024 están coloreadas de acuerdo con su nivel de precisión (alta, moderada y baja), tomando como referencia el Coeficiente de Variación (CV). Una precisión baja requiere un uso cauteloso de la estimación en el que se analicen las causas de la gran variabilidad y se consideren otros indicadores de precisión y confiabilidad, como el intervalo de confianza.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Nivel de precisión de las estimaciones, según el CV (porcentaje):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Alta: CV en el rango de [0,15) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Moderada: CV en el rango de [15,30) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Baja: CV de 30 en adelante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/,,,"Se presentan los niveles de inseguridad alimentaria de la Escala Mexicana de Seguridad Alimentaria (EMSA), así como la limitación de consumo de alimentos de acuerdo con el Programa Mundial de Alimentos (PMA) de la Organización de las Naciones Unidas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/,,,"Se refiere a los hogares cuyos integrantes tuvieron una dieta pobre o limítrofe, considerando la frecuencia y diversidad de consumo de doce grupos de alimentos, para aproximar la adecuación de nutrientes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: ,,,"INEGI. Pobreza multidimensional, 2024. Cálculos con base en la información de la ENIGH 2024, utilizando la metodología del CONEVAL. 
CONEVAL. Medición de la pobreza, de 2016 a 2022. Recuperado el 1 de agosto de 2025, de https://www.coneval.org.mx/Medicion/MP/Paginas/AE_pobreza_2022.aspx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
