Entidad federativa,,,,Población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,De 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1/,,,,,,De 22 años y más nacida a partir de 1998 sin educación media superior completa2/,,,De 16 años y más nacida entre 1982 y 1997 sin secundaria completa,,,,,,De 16 años y más nacida antes de 1982 sin primaria completa,,,,,,Población sin educación obligatoria3/,,,,,,,,,,,,De 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1/,,,,,,De 22 años y más nacida a partir de 1998 sin educación media superior completa2/,,,De 16 años y más nacida entre 1982 y 1997 sin secundaria completa,,,,,,De 16 años y más nacida antes de 1982 sin primaria completa,,,,,,Población sin educación obligatoria3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Inasistencia de la población de 3 a 15 años,,,,,,Inasistencia de la población de 16 a 21 años,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasa de inasistencia de la población de 3 a 15 años,,,,,,Tasa de inasistencia de la población de 16 a 21 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayarit,,,, 36.1, 62.6, 59.5, 67.9, 59.3,, 23.1, 29.5,, 35.9, 36.1, 37.8, 47.8, 36.1,, 136.9, 135.5, 122.3, 117.8, 103.9,, 21.3, 28.7, 22.0, 27.4, 21.1,, 14.8, 33.8, 37.5, 40.4, 38.1,, 9.8, 15.0, 14.7, 16.2, 15.0,, 42.6, 35.5,, 13.7, 13.3, 14.1, 17.0, 13.0,, 27.6, 28.1, 24.6, 25.7, 23.5,, 7.1, 9.3, 8.0, 9.3, 7.8,, 27.3, 47.5, 52.9, 55.4, 52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo León,,,, 168.7, 289.0, 318.2, 262.0, 274.0,, 134.1, 193.6,, 108.1, 104.0, 112.4, 102.2, 104.1,, 371.1, 346.4, 373.1, 320.4, 241.9,, 76.2, 86.5, 113.5, 78.0, 92.0,, 92.5, 202.5, 204.7, 184.0, 182.0,, 11.0, 16.7, 18.5, 14.5, 15.2,, 37.9, 36.2,, 8.6, 8.7, 8.5, 7.8, 7.2,, 16.4, 14.6, 15.0, 13.3, 11.3,, 6.3, 7.5, 10.3, 6.7, 7.7,, 38.2, 52.0, 59.2, 54.2, 53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,,,, 152.9, 238.1, 252.1, 252.5, 254.8,, 93.7, 137.6,, 257.0, 215.1, 267.4, 238.7, 265.3,, 705.8, 730.8, 682.3, 653.1, 645.0,, 77.8, 89.8, 88.0, 94.1, 91.1,, 75.2, 148.2, 164.1, 158.4, 163.7,, 12.2, 17.3, 17.8, 17.9, 17.4,, 52.4, 52.6,, 28.6, 25.7, 28.1, 26.7, 28.9,, 45.4, 45.6, 43.8, 41.3, 43.8,, 7.4, 8.7, 8.8, 9.3, 8.8,, 42.2, 55.2, 60.5, 59.3, 59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla,,,, 248.4, 326.5, 385.6, 312.6, 314.7,, 106.0, 185.3,, 345.7, 342.1, 327.0, 367.9, 317.7,, 741.8, 711.5, 771.6, 683.8, 676.1,, 127.9, 132.9, 160.3, 116.0, 123.2,, 120.6, 193.6, 225.3, 196.6, 191.6,, 12.3, 14.7, 17.2, 13.3, 14.7,, 33.1, 35.8,, 22.2, 21.7, 21.0, 23.5, 21.9,, 30.2, 30.3, 32.0, 30.9, 30.1,, 7.9, 8.2, 10.4, 7.0, 8.4,, 35.6, 46.6, 52.9, 51.0, 51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Querétaro,,,, 83.0, 127.0, 139.3, 135.1, 112.6,, 50.6, 67.1,, 78.4, 83.3, 80.4, 79.0, 63.4,, 176.2, 189.8, 172.3, 171.1, 125.4,, 40.1, 50.6, 53.1, 50.0, 37.6,, 42.9, 76.4, 86.2, 85.1, 75.0,, 13.1, 16.6, 17.5, 17.4, 14.5,, 35.8, 32.0,, 14.0, 14.3, 14.0, 13.0, 10.1,, 20.4, 22.5, 19.1, 19.9, 14.9,, 8.0, 9.4, 9.8, 9.4, 7.2,, 37.7, 49.8, 54.4, 58.6, 53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintana Roo,,,, 63.7, 89.7, 95.2, 81.9, 87.6,, 30.9, 51.9,, 67.4, 77.4, 65.9, 62.8, 62.0,, 140.5, 140.1, 154.2, 141.1, 105.2,, 37.7, 36.4, 39.1, 34.9, 35.1,, 26.0, 53.3, 56.1, 47.1, 52.5,, 12.8, 15.4, 15.7, 13.6, 14.6,, 31.3, 30.9,, 14.1, 14.8, 13.6, 13.0, 11.8,, 22.1, 22.5, 22.8, 21.0, 18.5,, 9.4, 8.6, 9.4, 8.7, 8.7,, 33.3, 48.8, 49.2, 44.4, 46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Potosí,,,, 93.1, 138.8, 144.7, 157.5, 128.1,, 54.5, 81.5,, 110.6, 90.6, 93.1, 96.2, 80.7,, 314.3, 322.5, 292.8, 282.3, 249.6,, 41.9, 44.6, 45.4, 47.3, 33.0,, 51.2, 94.2, 99.3, 110.2, 95.1,, 10.9, 14.6, 14.8, 16.8, 14.0,, 37.9, 36.4,, 16.4, 14.6, 15.1, 15.3, 12.9,, 28.3, 29.2, 26.8, 27.1, 24.6,, 6.0, 6.6, 6.8, 7.3, 5.3,, 39.8, 49.2, 54.2, 64.8, 55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinaloa,,,, 88.0, 108.6, 111.3, 124.9, 100.9,, 37.3, 56.3,, 95.7, 103.8, 81.4, 84.9, 78.4,, 301.4, 324.2, 305.9, 278.0, 250.2,, 50.2, 44.8, 44.8, 48.3, 31.6,, 37.8, 63.8, 66.5, 76.6, 69.3,, 10.1, 11.6, 11.4, 12.9, 10.4,, 23.9, 23.8,, 13.8, 14.7, 12.5, 12.8, 11.5,, 24.4, 26.4, 24.6, 23.4, 21.7,, 7.2, 6.7, 7.0, 7.5, 4.9,, 27.3, 41.4, 41.3, 46.7, 39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonora,,,, 95.0, 150.6, 165.8, 137.0, 127.2,, 51.2, 72.7,, 64.0, 59.2, 60.4, 62.6, 62.2,, 222.5, 197.8, 218.7, 185.9, 158.1,, 55.8, 56.6, 67.9, 54.8, 49.5,, 39.2, 94.0, 97.8, 82.2, 77.7,, 11.5, 16.2, 17.5, 14.6, 13.1,, 36.1, 30.1,, 9.6, 8.9, 9.3, 9.6, 9.0,, 18.5, 16.7, 18.4, 16.0, 14.8,, 8.3, 8.8, 10.9, 8.7, 7.8,, 29.2, 50.1, 52.5, 51.3, 43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabasco,,,, 69.8, 88.2, 88.2, 99.5, 106.7,, 39.0, 60.7,, 76.6, 80.7, 75.7, 70.6, 70.0,, 264.7, 257.4, 226.4, 228.9, 216.0,, 31.2, 30.2, 30.5, 35.6, 36.6,, 38.6, 58.0, 57.8, 63.9, 70.1,, 9.7, 11.0, 10.7, 12.1, 12.8,, 34.7, 30.5,, 12.9, 14.5, 13.6, 12.9, 12.5,, 29.2, 28.7, 24.9, 26.5, 25.5,, 5.3, 5.1, 5.4, 6.2, 6.5,, 34.6, 42.2, 40.5, 48.1, 49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
